APOE3_Normal_names,APOE3_Normal_pvals,APOE3_Normal_logfoldchanges,APOE4_HighRisk_names,APOE4_HighRisk_pvals,APOE4_HighRisk_logfoldchanges
CCDC36,0.0,1.8020619,PSENEN,0.0,2.5205579
SOX18,0.0,1.867248,FILIP1,0.0,0.5987582
KCNH7,0.0,1.6028934,CSF2RB,0.0,7.5727577
CCDC9B,0.0,1.166276,PBX4,0.0,-0.13349532
SLC25A25-AS1,0.0,1.6691493,AL138756.1,0.0,3.455842
CDH18,0.0,1.2553779,AC079298.3,0.0,0.016583437
KCNC2,0.0,2.0535085,DNAH6,0.0,1.2952144
AP001636.3,0.0,0.43749684,AC010149.1,0.0,
ITGBL1,0.0,1.5829266,AL162493.1,0.0,5.214942
AFAP1L1,0.0,1.9992468,TMUB1,0.0,2.078735
LRRC32,0.0,0.12472418,THSD7B,0.0,3.3440976
TNFRSF19,0.0,0.7257255,PDGFRA,0.0,4.9446177
AC104041.1,0.0,0.832665,ARL4C,0.0,0.62919015
AC124854.1,0.0,0.9379337,AC002074.1,0.0,4.09384
STAC3,0.0,0.001082619,ADAMTS12,0.0,2.0265865
ADCY1,0.0,0.2948716,TIMM8B,0.0,1.0212289
EYA4,0.0,1.3882387,ESRRB,0.0,2.6873317
TSPAN18,0.0,1.7728368,SDF2L1,0.0,4.3881283
AC084816.1,0.0,1.540245,LINC02389,0.0,1.7646803
PROM1,0.0,1.4501022,SERPINE1,0.0,0.9581236
TEX41,0.0,0.25655475,IGFBP4,0.0,6.204048
ACVRL1,0.0,2.2527454,TPTE2,0.0,0.656387
AC022784.1,0.0,0.7564,DUSP5,0.0,5.533193
AC012360.3,0.0,0.10636704,RSAD2,0.0,2.6807127
PSMC3,0.0,0.4517071,JPT1,0.0,3.3775077
TMEM132D,0.0,1.5950184,LTBP2,0.0,1.8458626
NMNAT2,0.0,2.1779494,COL12A1,0.0,2.071467
LINC01191,0.0,1.965757,SATB1-AS1,0.0,0.67058444
ST8SIA6-AS1,0.0,2.022959,AC007402.1,0.0,2.6882834
HMCN1,0.0,2.3032148,APRT,0.0,4.878769
JAG2,0.0,0.23676318,COL15A1,0.0,5.3189297
R3HDM4,0.0,0.14205916,TUSC3,0.0,0.3986914
GLRA2,0.0,2.299994,CARMN,0.0,0.91640794
AC097528.1,0.0,0.84739256,CRYBG1,0.0,1.3200262
STK26,0.0,1.7215946,SLC35F2,0.0,6.460139
RAMP3,0.0,1.3554945,NRL,0.0,1.3599602
AL356108.1,0.0,1.6875557,OAS3,0.0,4.7128825
AC104530.1,0.0,0.7433635,FMO2,0.0,1.9868932
HFE,0.0,0.97266555,NR4A1,0.0,1.0640848
NOX4,0.0,2.2839303,FPR3,0.0,5.26137
FFAR4,0.0,2.79049,C5orf17,0.0,3.2072036
LINC01151,0.0,2.9498606,AXIN2,0.0,-0.7226636
NTN4,0.0,0.074215785,AC007563.2,0.0,1.9681773
MYOCOS,0.0,2.0450406,CNTN5,0.0,0.46145552
LINC01356,0.0,2.4048827,HYOU1,0.0,2.2331204
CHRM3,0.0,2.2092953,BRCA2,0.0,2.4395685
DAXX,0.0,1.1408787,FHAD1,0.0,4.6365995
RGS7BP,0.0,1.8411275,COL6A2,0.0,4.7290816
DEPDC1B,0.0,2.9375148,AC019130.1,0.0,2.4882193
LRFN5,0.0,0.7877091,NME4,0.0,1.2397584
CCDC61,0.0,1.3487056,STAT4,0.0,5.834243
PRDM8,0.0,2.910404,IGFBP5,0.0,2.1012325
CAV1,0.0,2.5609808,BX284613.2,0.0,2.549115
LINC01197,0.0,2.581511,IFI27,0.0,3.467093
RINL,0.0,2.5113945,FHL2,0.0,6.458771
AP002807.1,0.0,0.3451554,MYD88,0.0,5.4834595
AKR1C1,0.0,1.5778534,AC011287.1,0.0,3.0158
CELF4,0.0,1.513687,CLSTN2,0.0,-0.516059
PRR11,0.0,2.0570967,PRICKLE1,0.0,
LINGO2,0.0,1.9001249,FAP,0.0,1.324901
NCMAP,0.0,0.9764341,COL25A1,0.0,2.445481
ALOX15B,0.0,1.2705534,FGF13,0.0,-1.5235901
MEG8,0.0,0.7780427,MMP14,0.0,3.0947702
SAMD5,0.0,1.5823128,DENND2D,0.0,5.2652698
ADGRA2,0.0,2.8246894,RASGRP1,0.0,0.7301706
GABRR2,0.0,2.4452178,IL18R1,0.0,4.6541705
SPAAR,0.0,3.543201,AL096854.1,0.0,4.171868
NES,0.0,2.6330595,S1PR3,0.0,3.5358608
HYAL2,0.0,-0.033442173,AC013652.1,0.0,3.1567433
OVCH1-AS1,0.0,2.0882132,TAGLN2,0.0,8.422768
SLC4A10,0.0,3.379082,MYO16,0.0,1.6459903
VWC2,0.0,2.661927,ECM2,0.0,6.205205
SCN1A,0.0,-0.25162184,LINC01001,0.0,11.642061
LZTS1,0.0,0.38970527,RAB38,0.0,8.012272
SYN2,0.0,2.6043594,NOP10,0.0,4.2811356
PROX1-AS1,0.0,2.8072948,C7,0.0,6.742275
HIGD1C,0.0,-0.09793156,MMP16,0.0,-3.1305304
BMF,0.0,2.3532476,AL359546.1,0.0,1.1378684
KLF11,0.0,2.6026375,HIST1H1C,0.0,4.059392
ABO,0.0,3.6208067,ADAMTS6,0.0,1.9954847
FOXC1,0.0,0.52328575,GGT5,0.0,3.7958117
PLA2R1,0.0,1.4618533,AC018618.1,0.0,2.63757
HCG11,0.0,2.7990236,AC139720.1,0.0,2.7937217
SCN2A,0.0,3.9854715,NOTCH3,0.0,-1.0379286
TDRD10,0.0,2.6621792,PKD1L1,0.0,1.9572567
GATA2-AS1,0.0,3.71524,LINC02100,0.0,2.8581188
LINC02542,0.0,0.38833848,SLC25A30,0.0,1.0630052
PTPN22,0.0,1.9720471,TNFRSF10C,0.0,5.0628314
TMEM44,0.0,2.7140949,SSTR2,0.0,0.55347884
CLDN7,0.0,3.18232,C1RL-AS1,0.0,4.2236404
PRPS2,0.0,-1.1132821,TBX15,0.0,
AC020703.1,0.0,0.15740044,C12orf57,0.0,1.924274
CAVIN2,0.0,2.655654,RAP2B,0.0,
GRM5,0.0,2.3813677,DOK6,0.0,3.2046242
LINC02591,0.0,2.417161,ADAMTSL4,0.0,
LINC02641,0.0,2.5155048,COX14,0.0,6.5943074
BTN3A3,0.0,1.3536764,BTBD19,0.0,
TXK,0.0,0.995918,LINC00884,0.0,6.8125362
TPM2,0.0,1.9281168,CCDC88C,0.0,0.7317454
XKR4,0.0,1.6793654,HMGN4,0.0,2.8935063
NOA1,0.0,0.9943134,MCTP2,0.0,
ALPL,0.0,2.347567,SELL,0.0,7.2905726
CDH5,0.0,3.2376237,AL109930.1,0.0,2.7896304
ST8SIA5,0.0,2.2670398,COL5A2,0.0,1.4611077
ARMC7,0.0,3.2064178,GALNT3,0.0,3.34765
SLFN12L,0.0,0.09001819,FANCM,0.0,
CLVS1,0.0,2.506343,PSME1,0.0,
AC087273.2,0.0,2.8617501,SUSD4,0.0,2.2614517
ADCY4,0.0,3.246891,COL4A4,0.0,3.314929e-07
TIE1,0.0,3.7932606,PSMB10,0.0,4.749041
AP001037.1,0.0,3.3956406,GSDMD,0.0,2.1406098e-08
RASIP1,0.0,3.9728148,C11orf24,0.0,
ISYNA1,0.0,1.7764282,AC090578.1,0.0,1.3650675
THEMIS,0.0,0.60879785,SULF2,0.0,5.721283
IFIT1,0.0,1.6196764,AL035446.2,0.0,6.359004
AP001924.1,0.0,2.6476855,NOD2,0.0,7.564648
PPM1N,0.0,3.322811,ANAPC11,0.0,2.499798
LINC02172,0.0,3.6407833,NDUFA4L2,0.0,
IL27RA,0.0,3.8509946,NSMCE3,0.0,
A1BG-AS1,0.0,1.0237434,GPATCH4,0.0,4.352655
LMCD1,0.0,1.6277778,PDCD1LG2,0.0,
FBXO41,0.0,0.21181473,RDH10,0.0,5.6049805
TACC3,0.0,1.0325549,NELL2,0.0,2.6902924
